model,decoding,recipe,target,alpha,n_int,n_stock,stock_mean,int_mean,delta,cohens_d,u_stat,p_value
gpt2,high_t,no_mean,late,0.0,15,15,79.39021313001238,83.83571140349858,4.445498273486194,0.5921199805619867,143.0,0.21337370709311831
gpt2,high_t,weakened_a,early,0.5,15,15,79.39021313001238,58.699886779936534,-20.69032635007585,-3.783333967937432,4.0,7.477207640048691e-06
gpt2,high_t,weakened_a,mid,0.5,2,15,79.39021313001238,79.66417712824685,0.27396399823446416,0.04082753539545314,15.0,1.0
gpt2,high_t,weakened_a,late,0.5,15,15,79.39021313001238,64.02963433946883,-15.360578790543556,-2.3267357012572414,13.0,4.0199730927471705e-05
gpt2,topp,no_mean,all,0.0,20,20,82.13068526415599,83.58417868614197,1.453493421985982,0.15397095695596116,227.0,0.4734806277722057
gpt2,topp,no_affine,all,0.0,20,20,82.13068526415599,63.873694170088996,-18.25699109406699,-2.308651875642691,32.0,5.873574095711034e-06
gpt2,topp,weakened_a,all,0.75,20,20,82.13068526415599,61.667348075480696,-20.46333718867529,-2.5964197442043813,27.0,3.069100921857103e-06
gpt2,topp,weakened_a,all,0.5,19,20,82.13068526415599,96.73127540968414,14.600590145528159,2.0868280544661624,368.0,6.122278994147902e-07
gpt2,topp,weakened_a,all,0.25,19,20,82.13068526415599,96.73127540968414,14.600590145528159,2.0868280544661624,368.0,6.122278994147902e-07
gpt2,topp,identity,all,0.0,19,20,82.13068526415599,96.73127540968414,14.600590145528159,2.0868280544661624,368.0,6.122278994147902e-07
gpt2,topp,no_mean,early,0.0,20,20,82.13068526415599,77.86208500464758,-4.268600259508403,-0.39185096300059696,158.5,0.2673397110110195
gpt2,topp,no_mean,mid,0.0,20,20,82.13068526415599,77.64963172730945,-4.481053536846531,-0.40792183202268295,162.5,0.3168296331245506
gpt2,topp,no_mean,late,0.0,20,20,82.13068526415599,86.02168748776117,3.8910022236051844,0.46295434190062745,245.0,0.22869435423745565
gpt2,topp,weakened_a,early,0.5,20,20,82.13068526415599,59.29954090288707,-22.83114436126892,-3.3163823079338646,19.0,1.0472741665207472e-06
gpt2,topp,weakened_a,late,0.5,20,20,82.13068526415599,61.35414747964769,-20.776537784508292,-2.6077370030703295,25.0,2.355659136230732e-06
